model_id,model_name,model_family,developer,release_date,context_window_tokens,mode,sources_found_in,canonical_model_id_litellm,canonical_model_id_openrouter,canonical_model_id_modelsdev,dedup_confidence,dedup_notes,avg_agentic_coding_score,avg_reasoning_chat_score
fireworks-ai-accounts-fireworks-models-code-qwen-1p5-7b,fireworks-ai-accounts-fireworks-models-code-qwen-1p5-7b,qwen,fireworks_ai,,65536.0,chat,litellm,fireworks_ai/accounts/fireworks/models/code-qwen-1p5-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-codegemma-2b,fireworks-ai-accounts-fireworks-models-codegemma-2b,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/codegemma-2b,,,high,,,
fireworks-ai-accounts-fireworks-models-codegemma-7b,fireworks-ai-accounts-fireworks-models-codegemma-7b,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/codegemma-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-671b-v2-p1,fireworks-ai-accounts-fireworks-models-cogito-671b-v2-p1,,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-671b-v2-p1,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-3b,fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-3b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-v1-preview-llama-3b,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-70b,fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-70b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-v1-preview-llama-70b,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-8b,fireworks-ai-accounts-fireworks-models-cogito-v1-preview-llama-8b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-v1-preview-llama-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-v1-preview-qwen-14b,fireworks-ai-accounts-fireworks-models-cogito-v1-preview-qwen-14b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-v1-preview-qwen-14b,,,high,,,
fireworks-ai-accounts-fireworks-models-cogito-v1-preview-qwen-32b,fireworks-ai-accounts-fireworks-models-cogito-v1-preview-qwen-32b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/cogito-v1-preview-qwen-32b,,,high,,,
fireworks-ai-accounts-fireworks-models-dbrx-instruct,fireworks-ai-accounts-fireworks-models-dbrx-instruct,,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/dbrx-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-1b-base,fireworks-ai-accounts-fireworks-models-deepseek-coder-1b-base,deepseek,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-1b-base,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-33b-instruct,fireworks-ai-accounts-fireworks-models-deepseek-coder-33b-instruct,deepseek,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-33b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-base,fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-base,deepseek,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-7b-base,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-base-v1p5,fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-base-v1p5,deepseek,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-7b-base-v1p5,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-instruct-v1p5,fireworks-ai-accounts-fireworks-models-deepseek-coder-7b-instruct-v1p5,deepseek,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-7b-instruct-v1p5,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-instruct,fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-instruct,deepseek,fireworks_ai,,65536.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-v2-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-lite-base,fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-lite-base,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-v2-lite-base,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-lite-instruct,fireworks-ai-accounts-fireworks-models-deepseek-coder-v2-lite-instruct,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-coder-v2-lite-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-prover-v2,fireworks-ai-accounts-fireworks-models-deepseek-prover-v2,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-prover-v2,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1,fireworks-ai-accounts-fireworks-models-deepseek-r1,deepseek,fireworks_ai,,20480.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-0528,fireworks-ai-accounts-fireworks-models-deepseek-r1-0528,deepseek,fireworks_ai,,160000.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-0528,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-0528-distill-qwen3-8b,fireworks-ai-accounts-fireworks-models-deepseek-r1-0528-distill-qwen3-8b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-0528-distill-qwen3-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-basic,fireworks-ai-accounts-fireworks-models-deepseek-r1-basic,deepseek,fireworks_ai,,20480.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-basic,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-llama-70b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-llama-70b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-llama-70b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-llama-8b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-llama-8b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-llama-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-14b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-14b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-qwen-14b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-1p5b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-1p5b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-qwen-1p5b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-32b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-32b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-qwen-32b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-7b,fireworks-ai-accounts-fireworks-models-deepseek-r1-distill-qwen-7b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-r1-distill-qwen-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v2-lite-chat,fireworks-ai-accounts-fireworks-models-deepseek-v2-lite-chat,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v2-lite-chat,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v2p5,fireworks-ai-accounts-fireworks-models-deepseek-v2p5,deepseek,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v2p5,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v3,fireworks-ai-accounts-fireworks-models-deepseek-v3,deepseek,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v3,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v3-0324,fireworks-ai-accounts-fireworks-models-deepseek-v3-0324,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v3-0324,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v3p1,fireworks-ai-accounts-fireworks-models-deepseek-v3p1,deepseek,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v3p1,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v3p1-terminus,fireworks-ai-accounts-fireworks-models-deepseek-v3p1-terminus,deepseek,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v3p1-terminus,,,high,,,
fireworks-ai-accounts-fireworks-models-deepseek-v3p2,fireworks-ai-accounts-fireworks-models-deepseek-v3p2,deepseek,fireworks_ai,,163840.0,chat,litellm,fireworks_ai/accounts/fireworks/models/deepseek-v3p2,,,high,,,
fireworks-ai-accounts-fireworks-models-devstral-small-2505,fireworks-ai-accounts-fireworks-models-devstral-small-2505,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/devstral-small-2505,,,high,,,
fireworks-ai-accounts-fireworks-models-dobby-mini-unhinged-plus-llama-3-1-8b,fireworks-ai-accounts-fireworks-models-dobby-mini-unhinged-plus-llama-3-1-8b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/dobby-mini-unhinged-plus-llama-3-1-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-dobby-unhinged-llama-3-3-70b-new,fireworks-ai-accounts-fireworks-models-dobby-unhinged-llama-3-3-70b-new,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/dobby-unhinged-llama-3-3-70b-new,,,high,,,
fireworks-ai-accounts-fireworks-models-dolphin-2-9-2-qwen2-72b,fireworks-ai-accounts-fireworks-models-dolphin-2-9-2-qwen2-72b,qwen,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/dolphin-2-9-2-qwen2-72b,,,high,,,
fireworks-ai-accounts-fireworks-models-dolphin-2p6-mixtral-8x7b,fireworks-ai-accounts-fireworks-models-dolphin-2p6-mixtral-8x7b,mixtral,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/dolphin-2p6-mixtral-8x7b,,,high,,,
fireworks-ai-accounts-fireworks-models-ernie-4p5-21b-a3b-pt,fireworks-ai-accounts-fireworks-models-ernie-4p5-21b-a3b-pt,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/ernie-4p5-21b-a3b-pt,,,high,,,
fireworks-ai-accounts-fireworks-models-ernie-4p5-300b-a47b-pt,fireworks-ai-accounts-fireworks-models-ernie-4p5-300b-a47b-pt,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/ernie-4p5-300b-a47b-pt,,,high,,,
fireworks-ai-accounts-fireworks-models-fare-20b,fireworks-ai-accounts-fireworks-models-fare-20b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/fare-20b,,,high,,,
fireworks-ai-accounts-fireworks-models-firefunction-v1,fireworks-ai-accounts-fireworks-models-firefunction-v1,,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/firefunction-v1,,,high,,,
fireworks-ai-accounts-fireworks-models-firefunction-v2,fireworks-ai-accounts-fireworks-models-firefunction-v2,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/firefunction-v2,,,high,,,
fireworks-ai-accounts-fireworks-models-firellava-13b,fireworks-ai-accounts-fireworks-models-firellava-13b,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/firellava-13b,,,high,,,
fireworks-ai-accounts-fireworks-models-firesearch-ocr-v6,fireworks-ai-accounts-fireworks-models-firesearch-ocr-v6,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/firesearch-ocr-v6,,,high,,,
fireworks-ai-accounts-fireworks-models-fireworks-asr-large,fireworks-ai-accounts-fireworks-models-fireworks-asr-large,,fireworks_ai,,4096.0,audio_transcription,litellm,fireworks_ai/accounts/fireworks/models/fireworks-asr-large,,,high,,,
fireworks-ai-accounts-fireworks-models-fireworks-asr-v2,fireworks-ai-accounts-fireworks-models-fireworks-asr-v2,,fireworks_ai,,4096.0,audio_transcription,litellm,fireworks_ai/accounts/fireworks/models/fireworks-asr-v2,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-1-dev,fireworks-ai-accounts-fireworks-models-flux-1-dev,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/flux-1-dev,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-1-dev-controlnet-union,fireworks-ai-accounts-fireworks-models-flux-1-dev-controlnet-union,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/flux-1-dev-controlnet-union,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-1-dev-fp8,fireworks-ai-accounts-fireworks-models-flux-1-dev-fp8,,fireworks_ai,,4096.0,image_generation,litellm,fireworks_ai/accounts/fireworks/models/flux-1-dev-fp8,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-1-schnell,fireworks-ai-accounts-fireworks-models-flux-1-schnell,,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/flux-1-schnell,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-1-schnell-fp8,fireworks-ai-accounts-fireworks-models-flux-1-schnell-fp8,,fireworks_ai,,4096.0,image_generation,litellm,fireworks_ai/accounts/fireworks/models/flux-1-schnell-fp8,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-kontext-max,fireworks-ai-accounts-fireworks-models-flux-kontext-max,,fireworks_ai,,4096.0,image_generation,litellm,fireworks_ai/accounts/fireworks/models/flux-kontext-max,,,high,,,
fireworks-ai-accounts-fireworks-models-flux-kontext-pro,fireworks-ai-accounts-fireworks-models-flux-kontext-pro,,fireworks_ai,,4096.0,image_generation,litellm,fireworks_ai/accounts/fireworks/models/flux-kontext-pro,,,high,,,
fireworks-ai-accounts-fireworks-models-gemma-2b-it,fireworks-ai-accounts-fireworks-models-gemma-2b-it,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gemma-2b-it,,,high,,,
fireworks-ai-accounts-fireworks-models-gemma-3-27b-it,fireworks-ai-accounts-fireworks-models-gemma-3-27b-it,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gemma-3-27b-it,,,high,,,
fireworks-ai-accounts-fireworks-models-gemma-7b,fireworks-ai-accounts-fireworks-models-gemma-7b,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gemma-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-gemma-7b-it,fireworks-ai-accounts-fireworks-models-gemma-7b-it,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gemma-7b-it,,,high,,,
fireworks-ai-accounts-fireworks-models-gemma2-9b-it,fireworks-ai-accounts-fireworks-models-gemma2-9b-it,,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gemma2-9b-it,,,high,,,
fireworks-ai-accounts-fireworks-models-glm-4p5,fireworks-ai-accounts-fireworks-models-glm-4p5,,fireworks_ai,,96000.0,chat,litellm,fireworks_ai/accounts/fireworks/models/glm-4p5,,,high,,,
fireworks-ai-accounts-fireworks-models-glm-4p5-air,fireworks-ai-accounts-fireworks-models-glm-4p5-air,,fireworks_ai,,96000.0,chat,litellm,fireworks_ai/accounts/fireworks/models/glm-4p5-air,,,high,,,
fireworks-ai-accounts-fireworks-models-glm-4p5v,fireworks-ai-accounts-fireworks-models-glm-4p5v,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/glm-4p5v,,,high,,,
fireworks-ai-accounts-fireworks-models-glm-4p6,fireworks-ai-accounts-fireworks-models-glm-4p6,,fireworks_ai,,202800.0,chat,litellm,fireworks_ai/accounts/fireworks/models/glm-4p6,,,high,,,
fireworks-ai-accounts-fireworks-models-glm-4p7,fireworks-ai-accounts-fireworks-models-glm-4p7,,fireworks_ai,,202800.0,chat,litellm,fireworks_ai/accounts/fireworks/models/glm-4p7,,,high,,,
fireworks-ai-accounts-fireworks-models-gpt-oss-120b,fireworks-ai-accounts-fireworks-models-gpt-oss-120b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,,,high,,,
fireworks-ai-accounts-fireworks-models-gpt-oss-20b,fireworks-ai-accounts-fireworks-models-gpt-oss-20b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,,,high,,,
fireworks-ai-accounts-fireworks-models-gpt-oss-safeguard-120b,fireworks-ai-accounts-fireworks-models-gpt-oss-safeguard-120b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gpt-oss-safeguard-120b,,,high,,,
fireworks-ai-accounts-fireworks-models-gpt-oss-safeguard-20b,fireworks-ai-accounts-fireworks-models-gpt-oss-safeguard-20b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/gpt-oss-safeguard-20b,,,high,,,
fireworks-ai-accounts-fireworks-models-hermes-2-pro-mistral-7b,fireworks-ai-accounts-fireworks-models-hermes-2-pro-mistral-7b,,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/hermes-2-pro-mistral-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-internvl3-38b,fireworks-ai-accounts-fireworks-models-internvl3-38b,,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/internvl3-38b,,,high,,,
fireworks-ai-accounts-fireworks-models-internvl3-78b,fireworks-ai-accounts-fireworks-models-internvl3-78b,,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/internvl3-78b,,,high,,,
fireworks-ai-accounts-fireworks-models-internvl3-8b,fireworks-ai-accounts-fireworks-models-internvl3-8b,,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/internvl3-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-japanese-stable-diffusion-xl,fireworks-ai-accounts-fireworks-models-japanese-stable-diffusion-xl,,fireworks_ai,,4096.0,image_generation,litellm,fireworks_ai/accounts/fireworks/models/japanese-stable-diffusion-xl,,,high,,,
fireworks-ai-accounts-fireworks-models-kat-coder,fireworks-ai-accounts-fireworks-models-kat-coder,,fireworks_ai,,262144.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kat-coder,,,high,,,
fireworks-ai-accounts-fireworks-models-kat-dev-32b,fireworks-ai-accounts-fireworks-models-kat-dev-32b,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kat-dev-32b,,,high,,,
fireworks-ai-accounts-fireworks-models-kat-dev-72b-exp,fireworks-ai-accounts-fireworks-models-kat-dev-72b-exp,,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kat-dev-72b-exp,,,high,,,
fireworks-ai-accounts-fireworks-models-kimi-k2-instruct,fireworks-ai-accounts-fireworks-models-kimi-k2-instruct,,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kimi-k2-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-kimi-k2-instruct-0905,fireworks-ai-accounts-fireworks-models-kimi-k2-instruct-0905,,fireworks_ai,,32768.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kimi-k2-instruct-0905,,,high,,,
fireworks-ai-accounts-fireworks-models-kimi-k2-thinking,fireworks-ai-accounts-fireworks-models-kimi-k2-thinking,,fireworks_ai,,262144.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kimi-k2-thinking,,,high,,,
fireworks-ai-accounts-fireworks-models-kimi-k2p5,fireworks-ai-accounts-fireworks-models-kimi-k2p5,,fireworks_ai,,262144.0,chat,litellm,fireworks_ai/accounts/fireworks/models/kimi-k2p5,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-guard-2-8b,fireworks-ai-accounts-fireworks-models-llama-guard-2-8b,llama,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-guard-2-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-guard-3-1b,fireworks-ai-accounts-fireworks-models-llama-guard-3-1b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-guard-3-1b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-guard-3-8b,fireworks-ai-accounts-fireworks-models-llama-guard-3-8b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-guard-3-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-13b,fireworks-ai-accounts-fireworks-models-llama-v2-13b,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-13b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-13b-chat,fireworks-ai-accounts-fireworks-models-llama-v2-13b-chat,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-13b-chat,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-70b,fireworks-ai-accounts-fireworks-models-llama-v2-70b,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-70b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-70b-chat,fireworks-ai-accounts-fireworks-models-llama-v2-70b-chat,llama,fireworks_ai,,2048.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-70b-chat,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-7b,fireworks-ai-accounts-fireworks-models-llama-v2-7b,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-7b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v2-7b-chat,fireworks-ai-accounts-fireworks-models-llama-v2-7b-chat,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v2-7b-chat,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3-70b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3-70b-instruct,llama,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3-70b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3-70b-instruct-hf,fireworks-ai-accounts-fireworks-models-llama-v3-70b-instruct-hf,llama,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3-70b-instruct-hf,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3-8b,fireworks-ai-accounts-fireworks-models-llama-v3-8b,llama,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3-8b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3-8b-instruct-hf,fireworks-ai-accounts-fireworks-models-llama-v3-8b-instruct-hf,llama,fireworks_ai,,8192.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3-8b-instruct-hf,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-405b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p1-405b-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-405b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-405b-instruct-long,fireworks-ai-accounts-fireworks-models-llama-v3p1-405b-instruct-long,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-405b-instruct-long,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-70b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p1-70b-instruct,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-70b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-70b-instruct-1b,fireworks-ai-accounts-fireworks-models-llama-v3p1-70b-instruct-1b,llama,fireworks_ai,,4096.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-70b-instruct-1b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-8b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p1-8b-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-8b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p1-nemotron-70b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p1-nemotron-70b-instruct,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p1-nemotron-70b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-11b-vision-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p2-11b-vision-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-11b-vision-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-1b,fireworks-ai-accounts-fireworks-models-llama-v3p2-1b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-1b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-1b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p2-1b-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-1b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-3b,fireworks-ai-accounts-fireworks-models-llama-v3p2-3b,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-3b,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-3b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p2-3b-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-3b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p2-90b-vision-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p2-90b-vision-instruct,llama,fireworks_ai,,16384.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p2-90b-vision-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama-v3p3-70b-instruct,fireworks-ai-accounts-fireworks-models-llama-v3p3-70b-instruct,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama-v3p3-70b-instruct,,,high,,,
fireworks-ai-accounts-fireworks-models-llama4-maverick-instruct-basic,fireworks-ai-accounts-fireworks-models-llama4-maverick-instruct-basic,llama,fireworks_ai,,131072.0,chat,litellm,fireworks_ai/accounts/fireworks/models/llama4-maverick-instruct-basic,,,high,,,
